Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.001       -150961.33   -151263.58       302.24   295.3
0.002       -150961.33   -151264.12       302.78   295.8
0.003       -150961.35   -151264.55       303.20   296.2
0.004       -150961.31   -151264.88       303.57   296.6
0.005       -150961.34   -151265.10       303.76   296.8
0.006       -150961.41   -151265.24       303.84   296.8
0.007       -150961.40   -151265.37       303.97   297.0
0.008       -150961.35   -151265.51       304.16   297.1
0.009       -150961.38   -151265.73       304.35   297.3
0.010       -150961.35   -151266.08       304.73   297.7
0.011       -150961.33   -151266.56       305.23   298.2
0.012       -150961.35   -151267.18       305.82   298.8
0.013       -150961.35   -151267.88       306.53   299.5
0.014       -150961.29   -151268.60       307.31   300.2
0.015       -150961.30   -151269.23       307.93   300.8
0.016       -150961.33   -151269.71       308.38   301.3
0.017       -150961.33   -151269.97       308.64   301.5
0.018       -150961.34   -151269.97       308.63   301.5
0.019       -150961.26   -151269.72       308.46   301.3
0.020       -150961.27   -151269.26       307.99   300.9
0.021       -150961.25   -151268.64       307.40   300.3
0.022       -150961.27   -151267.92       306.65   299.6
0.023       -150961.17   -151267.16       305.99   298.9
0.024       -150961.14   -151266.41       305.27   298.2
0.025       -150961.12   -151265.70       304.58   297.6
0.026       -150961.08   -151265.08       304.00   297.0
0.027       -150961.09   -151264.56       303.47   296.5
0.028       -150961.05   -151264.16       303.11   296.1
0.029       -150960.98   -151263.90       302.92   295.9
0.030       -150960.96   -151263.79       302.84   295.9
0.031       -150960.91   -151263.82       302.92   295.9
0.032       -150960.93   -151263.98       303.05   296.1
0.033       -150960.93   -151264.22       303.30   296.3
0.034       -150960.94   -151264.53       303.58   296.6
0.035       -150960.89   -151264.85       303.96   296.9
0.036       -150960.80   -151265.16       304.36   297.3
0.037       -150960.77   -151265.47       304.70   297.7
0.038       -150960.75   -151265.79       305.04   298.0
0.039       -150960.82   -151266.15       305.33   298.3
0.040       -150960.75   -151266.59       305.84   298.8
0.041       -150960.69   -151267.14       306.45   299.4
0.042       -150960.68   -151267.78       307.10   300.0
0.043       -150960.68   -151268.49       307.81   300.7
0.044       -150960.73   -151269.22       308.48   301.4
0.045       -150960.66   -151269.90       309.24   302.1
0.046       -150960.73   -151270.47       309.74   302.6
0.047       -150960.76   -151270.86       310.10   302.9
0.048       -150960.71   -151271.02       310.31   303.1
0.049       -150960.69   -151270.90       310.21   303.1
0.050       -150960.65   -151270.52       309.87   302.7
0.051       -150960.71   -151269.88       309.17   302.0
0.052       -150960.62   -151269.04       308.42   301.3
0.053       -150960.61   -151268.06       307.45   300.4
0.054       -150960.57   -151267.00       306.43   299.4
0.055       -150960.63   -151265.97       305.34   298.3
0.056       -150960.67   -151265.04       304.37   297.3
0.057       -150960.59   -151264.28       303.68   296.7
0.058       -150960.45   -151263.72       303.27   296.3
0.059       -150960.45   -151263.39       302.94   295.9
0.060       -150960.48   -151263.27       302.79   295.8
0.061       -150960.52   -151263.34       302.82   295.8
0.062       -150960.54   -151263.52       302.98   296.0
0.063       -150960.56   -151263.77       303.21   296.2
0.064       -150960.61   -151264.06       303.45   296.5
0.065       -150960.63   -151264.33       303.71   296.7
0.066       -150960.64   -151264.57       303.93   296.9
0.067       -150960.69   -151264.77       304.08   297.1
0.068       -150960.63   -151264.91       304.29   297.3
0.069       -150960.72   -151265.01       304.30   297.3
0.070       -150960.71   -151265.09       304.38   297.4
0.071       -150960.72   -151265.18       304.46   297.4
0.072       -150960.73   -151265.30       304.58   297.6
0.073       -150960.81   -151265.46       304.65   297.6
0.074       -150960.76   -151265.67       304.90   297.9
0.075       -150960.73   -151265.91       305.18   298.1
0.076       -150960.82   -151266.17       305.35   298.3
0.077       -150960.76   -151266.42       305.67   298.6
0.078       -150960.79   -151266.62       305.83   298.8
0.079       -150960.80   -151266.73       305.93   298.9
0.080       -150960.82   -151266.74       305.92   298.9
0.081       -150960.79   -151266.61       305.82   298.8
0.082       -150960.76   -151266.37       305.61   298.6
0.083       -150960.74   -151266.05       305.31   298.3
0.084       -150960.81   -151265.68       304.88   297.8
0.085       -150960.70   -151265.34       304.64   297.6
0.086       -150960.68   -151265.07       304.39   297.4
0.087       -150960.64   -151264.93       304.29   297.3
0.088       -150960.64   -151264.96       304.32   297.3
0.089       -150960.54   -151265.16       304.62   297.6
0.090       -150960.51   -151265.52       305.00   298.0
0.091       -150960.54   -151265.97       305.43   298.4
0.092       -150960.54   -151266.45       305.91   298.9
0.093       -150960.54   -151266.88       306.35   299.3
0.094       -150960.53   -151267.18       306.65   299.6
0.095       -150960.54   -151267.29       306.75   299.7
0.096       -150960.53   -151267.18       306.65   299.6
0.097       -150960.56   -151266.82       306.26   299.2
0.098       -150960.51   -151266.25       305.74   298.7
0.099       -150960.62   -151265.52       304.90   297.9
0.100       -150960.52   -151264.72       304.21   297.2
0.101       -150960.56   -151263.95       303.40   296.4
0.102       -150960.58   -151263.31       302.73   295.8
0.103       -150960.53   -151262.88       302.35   295.4
0.104       -150960.57   -151262.69       302.12   295.1
0.105       -150960.51   -151262.77       302.25   295.3
0.106       -150960.55   -151263.08       302.53   295.6
0.107       -150960.53   -151263.55       303.03   296.0
0.108       -150960.46   -151264.11       303.65   296.6
0.109       -150960.47   -151264.66       304.19   297.2
0.110       -150960.45   -151265.11       304.66   297.6
0.111       -150960.40   -151265.40       305.00   298.0
0.112       -150960.40   -151265.51       305.11   298.1
0.113       -150960.48   -151265.45       304.97   297.9
0.114       -150960.49   -151265.26       304.76   297.7
0.115       -150960.55   -151265.00       304.45   297.4
0.116       -150960.58   -151264.77       304.19   297.2
0.117       -150960.51   -151264.63       304.13   297.1
0.118       -150960.54   -151264.66       304.11   297.1
0.119       -150960.62   -151264.89       304.26   297.2
0.120       -150960.54   -151265.30       304.76   297.7
0.121       -150960.53   -151265.87       305.34   298.3
0.122       -150960.50   -151266.51       306.02   299.0
0.123       -150960.53   -151267.15       306.62   299.6
0.124       -150960.52   -151267.72       307.20   300.1
0.125       -150960.49   -151268.15       307.66   300.6
0.126       -150960.48   -151268.42       307.94   300.8
0.127       -150960.43   -151268.50       308.07   301.0
0.128       -150960.43   -151268.39       307.95   300.9
0.129       -150960.40   -151268.08       307.68   300.6
0.130       -150960.35   -151267.61       307.26   300.2
0.131       -150960.30   -151267.04       306.74   299.7
0.132       -150960.24   -151266.42       306.19   299.1
0.133       -150960.28   -151265.84       305.56   298.5
0.134       -150960.30   -151265.37       305.07   298.0
0.135       -150960.25   -151265.06       304.80   297.8
0.136       -150960.30   -151264.92       304.63   297.6
0.137       -150960.29   -151264.96       304.67   297.6
0.138       -150960.27   -151265.13       304.86   297.8
0.139       -150960.33   -151265.35       305.02   298.0
0.140       -150960.39   -151265.54       305.14   298.1
0.141       -150960.47   -151265.59       305.13   298.1
0.142       -150960.43   -151265.42       304.99   298.0
0.143       -150960.39   -151264.97       304.59   297.6
0.144       -150960.39   -151264.24       303.85   296.8
0.145       -150960.44   -151263.31       302.87   295.9
0.146       -150960.41   -151262.29       301.88   294.9
0.147       -150960.38   -151261.34       300.96   294.0
0.148       -150960.40   -151260.64       300.23   293.3
0.149       -150960.49   -151260.33       299.84   292.9
0.150       -150960.47   -151260.49       300.02   293.1
0.151       -150960.47   -151261.09       300.62   293.7
0.152       -150960.49   -151262.08       301.59   294.6
0.153       -150960.47   -151263.28       302.81   295.8
0.154       -150960.46   -151264.53       304.07   297.1
0.155       -150960.39   -151265.66       305.27   298.2
0.156       -150960.42   -151266.55       306.13   299.1
0.157       -150960.45   -151267.12       306.66   299.6
0.158       -150960.53   -151267.35       306.82   299.7
0.159       -150960.54   -151267.31       306.77   299.7
0.160       -150960.49   -151267.07       306.58   299.5
0.161       -150960.50   -151266.73       306.23   299.2
0.162       -150960.53   -151266.37       305.84   298.8
0.163       -150960.47   -151266.09       305.63   298.6
0.164       -150960.40   -151265.94       305.54   298.5
0.165       -150960.40   -151265.94       305.54   298.5
0.166       -150960.44   -151266.09       305.65   298.6
0.167       -150960.44   -151266.35       305.91   298.9
0.168       -150960.46   -151266.68       306.22   299.2
0.169       -150960.43   -151267.02       306.59   299.5
0.170       -150960.43   -151267.32       306.89   299.8
0.171       -150960.41   -151267.51       307.11   300.0
0.172       -150960.36   -151267.59       307.22   300.1
0.173       -150960.31   -151267.51       307.20   300.1
0.174       -150960.29   -151267.27       306.98   299.9
0.175       -150960.29   -151266.90       306.62   299.5
0.176       -150960.27   -151266.42       306.14   299.1
0.177       -150960.33   -151265.87       305.54   298.5
0.178       -150960.34   -151265.32       304.98   297.9
0.179       -150960.33   -151264.82       304.49   297.5
0.180       -150960.30   -151264.41       304.11   297.1
0.181       -150960.34   -151264.14       303.79   296.8
0.182       -150960.36   -151263.98       303.61   296.6
0.183       -150960.28   -151263.91       303.63   296.6
0.184       -150960.29   -151263.91       303.62   296.6
0.185       -150960.27   -151263.92       303.65   296.6
0.186       -150960.20   -151263.87       303.68   296.7
0.187       -150960.23   -151263.76       303.53   296.5
0.188       -150960.26   -151263.59       303.34   296.3
0.189       -150960.31   -151263.41       303.10   296.1
0.190       -150960.26   -151263.28       303.02   296.0
0.191       -150960.24   -151263.29       303.05   296.1
0.192       -150960.22   -151263.52       303.30   296.3
0.193       -150960.20   -151264.01       303.81   296.8
0.194       -150960.20   -151264.77       304.56   297.5
0.195       -150960.20   -151265.75       305.54   298.5
0.196       -150960.21   -151266.85       306.64   299.6
0.197       -150960.15   -151267.96       307.81   300.7
0.198       -150960.13   -151268.95       308.82   301.7
0.199       -150960.11   -151269.69       309.58   302.4
0.200       -150960.07   -151270.08       310.01   302.9
0.201       -150960.08   -151270.06       309.97   302.8
0.202       -150960.03   -151269.62       309.58   302.4
0.203       -150960.00   -151268.82       308.82   301.7
0.204       -150959.89   -151267.77       307.89   300.8
0.205       -150959.87   -151266.64       306.77   299.7
0.206       -150959.92   -151265.59       305.67   298.6
0.207       -150959.92   -151264.75       304.83   297.8
0.208       -150959.95   -151264.26       304.31   297.3
0.209       -150959.99   -151264.14       304.15   297.1
0.210       -150960.07   -151264.38       304.31   297.3
0.211       -150960.09   -151264.87       304.78   297.7
0.212       -150960.19   -151265.49       305.30   298.3
0.213       -150960.21   -151266.11       305.90   298.8
0.214       -150960.11   -151266.58       306.47   299.4
0.215       -150960.14   -151266.81       306.67   299.6
0.216       -150960.18   -151266.75       306.56   299.5
0.217       -150960.12   -151266.38       306.25   299.2
0.218       -150960.12   -151265.75       305.63   298.6
0.219       -150960.15   -151264.98       304.83   297.8
0.220       -150960.21   -151264.18       303.97   297.0
0.221       -150960.25   -151263.47       303.23   296.2
0.222       -150960.13   -151262.97       302.84   295.9
0.223       -150960.17   -151262.76       302.59   295.6
0.224       -150960.15   -151262.86       302.72   295.7
0.225       -150960.15   -151263.27       303.13   296.1
0.226       -150960.08   -151263.94       303.86   296.9
0.227       -150960.01   -151264.72       304.71   297.7
0.228       -150960.02   -151265.49       305.47   298.4
0.229       -150960.05   -151266.11       306.06   299.0
0.230       -150960.07   -151266.47       306.39   299.3
0.231       -150960.10   -151266.50       306.40   299.3
0.232       -150960.06   -151266.21       306.14   299.1
0.233       -150960.04   -151265.65       305.62   298.6
0.234       -150960.00   -151264.96       304.97   297.9
0.235       -150959.95   -151264.27       304.32   297.3
0.236       -150959.81   -151263.70       303.89   296.9
0.237       -150959.79   -151263.36       303.56   296.6
0.238       -150959.88   -151263.28       303.40   296.4
0.239       -150959.85   -151263.46       303.61   296.6
0.240       -150959.87   -151263.86       303.98   297.0
0.241       -150959.91   -151264.37       304.47   297.4
0.242       -150960.00   -151264.91       304.91   297.9
0.243       -150959.97   -151265.39       305.41   298.4
0.244       -150959.96   -151265.74       305.77   298.7
0.245       -150959.94   -151265.90       305.96   298.9
0.246       -150959.90   -151265.87       305.97   298.9
0.247       -150959.86   -151265.64       305.77   298.7
0.248       -150959.79   -151265.24       305.45   298.4
0.249       -150959.75   -151264.72       304.97   297.9
0.250       -150959.78   -151264.15       304.37   297.3
0.251       -150959.77   -151263.58       303.81   296.8
0.252       -150959.77   -151263.08       303.31   296.3
0.253       -150959.76   -151262.70       302.94   296.0
0.254       -150959.79   -151262.47       302.68   295.7
0.255       -150959.82   -151262.42       302.60   295.6
0.256       -150959.83   -151262.54       302.71   295.7
0.257       -150959.82   -151262.82       303.00   296.0
0.258       -150959.80   -151263.22       303.42   296.4
0.259       -150959.70   -151263.67       303.98   297.0
0.260       -150959.63   -151264.10       304.47   297.4
0.261       -150959.69   -151264.42       304.73   297.7
0.262       -150959.72   -151264.58       304.86   297.8
0.263       -150959.75   -151264.53       304.78   297.8
0.264       -150959.73   -151264.30       304.58   297.6
0.265       -150959.78   -151263.92       304.15   297.1
0.266       -150959.84   -151263.46       303.62   296.6
0.267       -150959.82   -151262.98       303.16   296.2
0.268       -150959.80   -151262.56       302.75   295.8
0.269       -150959.73   -151262.23       302.49   295.5
0.270       -150959.69   -151262.03       302.34   295.4
0.271       -150959.71   -151261.96       302.25   295.3
0.272       -150959.78   -151262.00       302.22   295.2
0.273       -150959.80   -151262.10       302.31   295.3
0.274       -150959.77   -151262.22       302.45   295.5
0.275       -150959.83   -151262.31       302.48   295.5
0.276       -150959.78   -151262.32       302.54   295.6
0.277       -150959.81   -151262.25       302.43   295.5
0.278       -150959.86   -151262.09       302.24   295.3
0.279       -150959.81   -151261.92       302.11   295.1
0.280       -150959.74   -151261.77       302.03   295.1
0.281       -150959.70   -151261.73       302.03   295.1
0.282       -150959.72   -151261.84       302.12   295.1
0.283       -150959.75   -151262.11       302.36   295.4
0.284       -150959.73   -151262.52       302.79   295.8
0.285       -150959.67   -151263.01       303.34   296.3
0.286       -150959.64   -151263.50       303.86   296.8
0.287       -150959.69   -151263.90       304.21   297.2
0.288       -150959.71   -151264.13       304.42   297.4
0.289       -150959.71   -151264.14       304.43   297.4
0.290       -150959.71   -151263.92       304.21   297.2
0.291       -150959.61   -151263.50       303.88   296.9
0.292       -150959.64   -151262.96       303.32   296.3
0.293       -150959.54   -151262.44       302.90   295.9
0.294       -150959.63   -151262.06       302.43   295.5
0.295       -150959.61   -151261.96       302.35   295.4
0.296       -150959.59   -151262.21       302.62   295.6
0.297       -150959.66   -151262.86       303.20   296.2
0.298       -150959.68   -151263.88       304.20   297.2
0.299       -150959.60   -151265.15       305.55   298.5
0.300       -150959.60   -151266.53       306.92   299.8
0.301       -150959.64   -151267.82       308.18   301.1
0.302       -150959.62   -151268.86       309.24   302.1
0.303       -150959.68   -151269.50       309.82   302.7
0.304       -150959.69   -151269.66       309.97   302.8
0.305       -150959.69   -151269.31       309.62   302.5
0.306       -150959.69   -151268.53       308.83   301.7
0.307       -150959.74   -151267.41       307.67   300.6
0.308       -150959.74   -151266.10       306.36   299.3
0.309       -150959.72   -151264.74       305.02   298.0
0.310       -150959.70   -151263.46       303.76   296.8
0.311       -150959.72   -151262.37       302.65   295.7
0.312       -150959.76   -151261.58       301.81   294.9
0.313       -150959.77   -151261.14       301.37   294.4
0.314       -150959.79   -151261.11       301.32   294.4
0.315       -150959.77   -151261.48       301.71   294.7
0.316       -150959.91   -151262.22       302.30   295.3
0.317       -150959.90   -151263.23       303.33   296.3
0.318       -150959.95   -151264.43       304.48   297.5
0.319       -150959.96   -151265.67       305.71   298.7
0.320       -150959.89   -151266.82       306.93   299.9
0.321       -150959.89   -151267.76       307.87   300.8
0.322       -150959.94   -151268.37       308.43   301.3
0.323       -150959.93   -151268.61       308.68   301.6
0.324       -150959.96   -151268.45       308.49   301.4
0.325       -150959.93   -151267.95       308.03   300.9
0.326       -150959.87   -151267.21       307.34   300.3
0.327       -150959.85   -151266.34       306.49   299.4
0.328       -150959.77   -151265.46       305.69   298.6
0.329       -150959.77   -151264.69       304.93   297.9
0.330       -150959.74   -151264.11       304.36   297.3
0.331       -150959.71   -151263.74       304.04   297.0
0.332       -150959.74   -151263.60       303.86   296.9
0.333       -150959.71   -151263.67       303.95   296.9
0.334       -150959.68   -151263.87       304.19   297.2
0.335       -150959.75   -151264.14       304.40   297.4
0.336       -150959.71   -151264.40       304.69   297.7
0.337       -150959.66   -151264.58       304.92   297.9
0.338       -150959.67   -151264.62       304.95   297.9
0.339       -150959.72   -151264.52       304.80   297.8
0.340       -150959.65   -151264.34       304.69   297.7
0.341       -150959.58   -151264.14       304.57   297.5
0.342       -150959.62   -151264.01       304.40   297.4
0.343       -150959.59   -151264.02       304.43   297.4
0.344       -150959.64   -151264.21       304.58   297.6
0.345       -150959.71   -151264.59       304.89   297.9
0.346       -150959.75   -151265.13       305.37   298.3
0.347       -150959.76   -151265.75       305.99   298.9
0.348       -150959.89   -151266.38       306.49   299.4
0.349       -150959.91   -151266.90       306.98   299.9
0.350       -150960.00   -151267.21       307.21   300.1
0.351       -150959.96   -151267.27       307.30   300.2
0.352       -150960.05   -151267.02       306.98   299.9
0.353       -150960.00   -151266.50       306.51   299.4
0.354       -150960.00   -151265.77       305.76   298.7
0.355       -150960.06   -151264.90       304.84   297.8
0.356       -150960.05   -151264.00       303.94   296.9
0.357       -150960.09   -151263.17       303.08   296.1
0.358       -150960.10   -151262.48       302.38   295.4
0.359       -150960.05   -151261.98       301.93   295.0
0.360       -150960.04   -151261.67       301.63   294.7
0.361       -150960.08   -151261.55       301.47   294.5
0.362       -150960.02   -151261.57       301.55   294.6
0.363       -150960.07   -151261.69       301.63   294.7
0.364       -150960.12   -151261.87       301.75   294.8
0.365       -150960.14   -151262.05       301.91   294.9
0.366       -150960.19   -151262.19       302.00   295.0
0.367       -150960.23   -151262.31       302.08   295.1
0.368       -150960.21   -151262.42       302.20   295.2
0.369       -150960.23   -151262.53       302.31   295.3
0.370       -150960.22   -151262.69       302.47   295.5
0.371       -150960.27   -151262.87       302.60   295.6
0.372       -150960.27   -151263.08       302.80   295.8
0.373       -150960.32   -151263.27       302.95   296.0
0.374       -150960.31   -151263.44       303.12   296.1
0.375       -150960.35   -151263.59       303.24   296.2
0.376       -150960.39   -151263.74       303.35   296.4
0.377       -150960.37   -151263.91       303.54   296.5
0.378       -150960.33   -151264.11       303.78   296.8
0.379       -150960.33   -151264.33       304.00   297.0
0.380       -150960.37   -151264.54       304.16   297.1
0.381       -150960.37   -151264.67       304.29   297.3
0.382       -150960.36   -151264.69       304.33   297.3
0.383       -150960.41   -151264.60       304.19   297.2
0.384       -150960.37   -151264.40       304.02   297.0
0.385       -150960.36   -151264.12       303.75   296.7
0.386       -150960.35   -151263.82       303.48   296.5
0.387       -150960.35   -151263.60       303.25   296.3
0.388       -150960.37   -151263.50       303.13   296.1
0.389       -150960.33   -151263.57       303.25   296.3
0.390       -150960.30   -151263.84       303.54   296.5
0.391       -150960.30   -151264.27       303.97   297.0
0.392       -150960.29   -151264.81       304.52   297.5
0.393       -150960.26   -151265.37       305.11   298.1
0.394       -150960.32   -151265.85       305.52   298.5
0.395       -150960.32   -151266.17       305.86   298.8
0.396       -150960.41   -151266.29       305.88   298.8
0.397       -150960.41   -151266.20       305.78   298.7
0.398       -150960.45   -151265.95       305.50   298.5
0.399       -150960.39   -151265.65       305.26   298.2
0.400       -150960.45   -151265.37       304.92   297.9
0.401       -150960.52   -151265.24       304.71   297.7
0.402       -150960.47   -151265.31       304.83   297.8
0.403       -150960.44   -151265.60       305.16   298.1
0.404       -150960.44   -151266.10       305.66   298.6
0.405       -150960.43   -151266.74       306.32   299.3
0.406       -150960.43   -151267.43       306.99   299.9
0.407       -150960.35   -151268.04       307.69   300.6
0.408       -150960.38   -151268.48       308.11   301.0
0.409       -150960.41   -151268.67       308.26   301.1
0.410       -150960.53   -151268.57       308.05   300.9
0.411       -150960.51   -151268.21       307.70   300.6
0.412       -150960.42   -151267.64       307.22   300.1
0.413       -150960.45   -151266.96       306.51   299.4
0.414       -150960.42   -151266.26       305.84   298.8
0.415       -150960.34   -151265.65       305.31   298.3
0.416       -150960.28   -151265.19       304.90   297.9
0.417       -150960.25   -151264.91       304.66   297.6
0.418       -150960.29   -151264.83       304.54   297.5
0.419       -150960.32   -151264.90       304.59   297.6
0.420       -150960.33   -151265.10       304.76   297.7
0.421       -150960.39   -151265.37       304.98   297.9
0.422       -150960.34   -151265.67       305.32   298.3
0.423       -150960.35   -151265.95       305.60   298.5
0.424       -150960.31   -151266.16       305.85   298.8
0.425       -150960.37   -151266.26       305.89   298.8
0.426       -150960.34   -151266.20       305.86   298.8
0.427       -150960.28   -151265.97       305.70   298.6
0.428       -150960.29   -151265.58       305.29   298.2
0.429       -150960.27   -151265.06       304.79   297.8
0.430       -150960.26   -151264.46       304.20   297.2
0.431       -150960.25   -151263.85       303.60   296.6
0.432       -150960.19   -151263.32       303.13   296.1
0.433       -150960.33   -151262.94       302.61   295.6
0.434       -150960.37   -151262.75       302.39   295.4
0.435       -150960.35   -151262.79       302.45   295.5
0.436       -150960.36   -151263.02       302.66   295.7
0.437       -150960.37   -151263.40       303.03   296.0
0.438       -150960.41   -151263.85       303.44   296.4
0.439       -150960.38   -151264.26       303.88   296.9
0.440       -150960.28   -151264.56       304.27   297.3
0.441       -150960.30   -151264.68       304.39   297.4
0.442       -150960.38   -151264.63       304.25   297.2
0.443       -150960.47   -151264.44       303.96   297.0
0.444       -150960.46   -151264.14       303.68   296.7
0.445       -150960.50   -151263.81       303.31   296.3
0.446       -150960.49   -151263.49       303.00   296.0
0.447       -150960.57   -151263.24       302.67   295.7
0.448       -150960.53   -151263.09       302.57   295.6
0.449       -150960.55   -151263.07       302.51   295.5
0.450       -150960.52   -151263.16       302.64   295.7
0.451       -150960.62   -151263.39       302.78   295.8
0.452       -150960.55   -151263.76       303.20   296.2
0.453       -150960.52   -151264.24       303.72   296.7
0.454       -150960.46   -151264.80       304.34   297.3
0.455       -150960.42   -151265.39       304.97   297.9
0.456       -150960.50   -151265.97       305.47   298.4
0.457       -150960.57   -151266.46       305.90   298.8
0.458       -150960.62   -151266.84       306.23   299.2
0.459       -150960.66   -151267.06       306.40   299.3
0.460       -150960.62   -151267.09       306.47   299.4
0.461       -150960.57   -151266.96       306.40   299.3
0.462       -150960.56   -151266.71       306.15   299.1
0.463       -150960.59   -151266.40       305.81   298.8
0.464       -150960.61   -151266.09       305.48   298.4
0.465       -150960.60   -151265.85       305.25   298.2
0.466       -150960.58   -151265.73       305.15   298.1
0.467       -150960.54   -151265.77       305.22   298.2
0.468       -150960.45   -151265.92       305.47   298.4
0.469       -150960.48   -151266.12       305.64   298.6
0.470       -150960.40   -151266.27       305.87   298.8
0.471       -150960.38   -151266.28       305.90   298.8
0.472       -150960.45   -151266.07       305.63   298.6
0.473       -150960.50   -151265.61       305.11   298.1
0.474       -150960.45   -151264.91       304.47   297.4
0.475       -150960.49   -151264.05       303.55   296.6
0.476       -150960.45   -151263.12       302.66   295.7
0.477       -150960.51   -151262.27       301.76   294.8
0.478       -150960.47   -151261.63       301.16   294.2
0.479       -150960.44   -151261.29       300.85   293.9
0.480       -150960.45   -151261.32       300.88   293.9
0.481       -150960.43   -151261.73       301.30   294.3
0.482       -150960.42   -151262.47       302.05   295.1
0.483       -150960.45   -151263.44       302.99   296.0
0.484       -150960.46   -151264.54       304.08   297.1
0.485       -150960.45   -151265.63       305.18   298.1
0.486       -150960.43   -151266.61       306.18   299.1
0.487       -150960.44   -151267.39       306.96   299.9
0.488       -150960.42   -151267.93       307.51   300.4
0.489       -150960.44   -151268.20       307.76   300.7
0.490       -150960.35   -151268.23       307.88   300.8
0.491       -150960.34   -151268.05       307.71   300.6
0.492       -150960.37   -151267.71       307.34   300.3
0.493       -150960.42   -151267.26       306.84   299.8
0.494       -150960.43   -151266.78       306.35   299.3
0.495       -150960.53   -151266.36       305.83   298.8
0.496       -150960.57   -151266.04       305.47   298.4
0.497       -150960.59   -151265.88       305.30   298.3
0.498       -150960.59   -151265.89       305.31   298.3
0.499       -150960.59   -151266.04       305.45   298.4
0.500       -150960.56   -151266.25       305.69   298.6
0.501       -150960.51   -151266.45       305.94   298.9
0.502       -150960.59   -151266.57       305.98   298.9
0.503       -150960.66   -151266.54       305.88   298.8
0.504       -150960.68   -151266.35       305.67   298.6
0.505       -150960.68   -151265.99       305.31   298.3
0.506       -150960.65   -151265.53       304.88   297.8
0.507       -150960.71   -151265.06       304.35   297.3
0.508       -150960.78   -151264.68       303.90   296.9
0.509       -150960.77   -151264.49       303.72   296.7
0.510       -150960.71   -151264.59       303.89   296.9
0.511       -150960.63   -151265.03       304.40   297.4
0.512       -150960.69   -151265.78       305.09   298.0
0.513       -150960.65   -151266.77       306.12   299.1
0.514       -150960.65   -151267.88       307.23   300.1
0.515       -150960.71   -151268.96       308.26   301.1
0.516       -150960.65   -151269.85       309.20   302.1
0.517       -150960.70   -151270.41       309.71   302.6
0.518       -150960.71   -151270.56       309.85   302.7
0.519       -150960.72   -151270.29       309.57   302.4
0.520       -150960.76   -151269.65       308.88   301.8
0.521       -150960.77   -151268.75       307.97   300.9
0.522       -150960.84   -151267.71       306.87   299.8
0.523       -150960.72   -151266.69       305.97   298.9
0.524       -150960.68   -151265.80       305.12   298.1
0.525       -150960.67   -151265.13       304.46   297.4
0.526       -150960.69   -151264.75       304.06   297.0
0.527       -150960.67   -151264.68       304.01   297.0
0.528       -150960.64   -151264.88       304.24   297.2
0.529       -150960.69   -151265.27       304.58   297.6
0.530       -150960.70   -151265.75       305.05   298.0
0.531       -150960.71   -151266.19       305.49   298.4
0.532       -150960.76   -151266.50       305.74   298.7
0.533       -150960.71   -151266.58       305.87   298.8
0.534       -150960.72   -151266.37       305.65   298.6
0.535       -150960.81   -151265.86       305.05   298.0
0.536       -150960.84   -151265.11       304.27   297.2
0.537       -150960.85   -151264.19       303.33   296.3
0.538       -150960.79   -151263.21       302.42   295.4
0.539       -150960.76   -151262.31       301.55   294.6
0.540       -150960.72   -151261.63       300.90   294.0
0.541       -150960.69   -151261.25       300.57   293.6
0.542       -150960.76   -151261.25       300.49   293.6
0.543       -150960.72   -151261.62       300.90   294.0
0.544       -150960.65   -151262.32       301.67   294.7
0.545       -150960.60   -151263.27       302.66   295.7
0.546       -150960.65   -151264.35       303.69   296.7
0.547       -150960.75   -151265.42       304.67   297.6
0.548       -150960.75   -151266.37       305.62   298.6
0.549       -150960.80   -151267.07       306.27   299.2
0.550       -150960.76   -151267.45       306.69   299.6
0.551       -150960.73   -151267.47       306.73   299.7
0.552       -150960.76   -151267.14       306.38   299.3
0.553       -150960.74   -151266.53       305.79   298.7
0.554       -150960.75   -151265.74       304.99   298.0
0.555       -150960.75   -151264.89       304.14   297.1
0.556       -150960.70   -151264.11       303.42   296.4
0.557       -150960.65   -151263.55       302.90   295.9
0.558       -150960.75   -151263.30       302.55   295.6
0.559       -150960.72   -151263.40       302.67   295.7
0.560       -150960.81   -151263.83       303.02   296.0
0.561       -150960.85   -151264.51       303.67   296.7
0.562       -150960.89   -151265.34       304.45   297.4
0.563       -150960.95   -151266.16       305.21   298.2
0.564       -150960.82   -151266.83       306.01   298.9
0.565       -150960.87   -151267.21       306.35   299.3
0.566       -150960.85   -151267.26       306.41   299.3
0.567       -150960.82   -151266.98       306.15   299.1
0.568       -150960.75   -151266.42       305.68   298.6
0.569       -150960.69   -151265.68       304.98   297.9
0.570       -150960.75   -151264.85       304.10   297.1
0.571       -150960.70   -151264.08       303.38   296.4
0.572       -150960.73   -151263.47       302.74   295.8
0.573       -150960.72   -151263.11       302.39   295.4
0.574       -150960.75   -151263.07       302.31   295.3
0.575       -150960.75   -151263.34       302.59   295.6
0.576       -150960.83   -151263.90       303.06   296.1
0.577       -150960.85   -151264.64       303.79   296.8
0.578       -150960.90   -151265.47       304.57   297.5
0.579       -150960.89   -151266.25       305.36   298.3
0.580       -150960.91   -151266.89       305.98   298.9
0.581       -150960.88   -151267.29       306.41   299.3
